"","gene","mean_HNSC","mean_LUSC","mean_HNSC_minus_mean_LUSC","p","p.adj"
"19","CPTP",0.6236655710687,0.59368634164376,0.0299792294249396,0.00157618649757878,0.0021655333851538
"20","TAS1R3",0.458125845213202,0.499696278323744,-0.0415704331105417,0.000526453468595258,0.0021655333851538
"21","DVL1",0.665319542903403,0.716749173113888,-0.0514296302104849,0.000502924129684312,0.0021655333851538
"22","MXRA8",0.496458014965104,0.576696722964611,-0.0802387079995075,0.00047023179574715,0.0021655333851538
"23","RP4-758J18.2",0.704154126489227,0.67130166834932,0.0328524581399072,3.72588657741032e-05,0.0021655333851538
"24","RP4-758J18.13",0.919484850306693,0.898409846339067,0.0210750039676266,0.000290340690937108,0.0021655333851538
"25","ANKRD65",0.705664162745042,0.820094756024504,-0.114430593279462,2.96289664914724e-05,0.0021655333851538
"26","TMEM88B",0.595719474454217,0.671791639170451,-0.0760721647162338,0.000357989085961199,0.0021655333851538
"27","ATAD3C",0.509192367963367,0.598591798350405,-0.0893994303870372,0.000213335825626132,0.0021655333851538
"28","TMEM240",0.495136116499159,0.456149694298985,0.0389864222001738,0.00024359764395913,0.0021655333851538
"29","SSU72",0.845080371078353,0.861786394778064,-0.0167060236997111,0.000533950699401385,0.0021655333851538
"30","Metazoa_SRP",0.529336615528224,0.58384355893325,-0.0545069434050255,0.000658314194107047,0.0021655333851538
"31","MIB2",0.572182042295106,0.6710184489462,-0.0988364066510935,5.11012683108339e-06,0.0021655333851538
"32","MMP23B",0.401771372001411,0.310536492533672,0.091234879467739,0.000338043778451413,0.0021655333851538
"33","NADK",0.680367325487244,0.667149599770117,0.013217725717128,0.000147986349894454,0.0021655333851538
"34","CALML6",0.660110672153339,0.724397204437292,-0.0642865322839532,0.000828244693234565,0.0021655333851538
"35","TMEM52",0.759380189846714,0.830344531201142,-0.0709643413544278,0.000529237168502614,0.0021655333851538
"36","CFAP74",0.629418934824332,0.705424132094499,-0.0760051972701672,0.000494447173701257,0.0021655333851538
"37","RP11-547D24.1",0.30469941580628,0.366026818315179,-0.0613274025088987,3.65607514026379e-06,0.0021655333851538
"38","GABRD",0.520620037196206,0.573471181640002,-0.0528511444437959,0.00130924550165294,0.0021655333851538
"39","PRKCZ",0.766891816391876,0.788957256756293,-0.0220654403644171,0.000242007134511364,0.0021655333851538
"40","C1orf86",0.642912706070444,0.72349085541987,-0.0805781493494263,0.00027966144739473,0.0021655333851538
"41","SKI",0.79353924875342,0.80824916124319,-0.0147099124897702,0.000406249608834074,0.0021655333851538
"42","MORN1",0.639334099950756,0.715048944765008,-0.0757148448142519,0.000309985820320122,0.0021655333851538
"43","RER1",0.880496153771978,0.845307929013315,0.0351882247586632,7.32578728519222e-05,0.0021655333851538
"44","PEX10",0.786655528151288,0.76983755068488,0.0168179774664074,0.000310648339496268,0.0021655333851538
"45","PLCH2",0.708784838470997,0.661910038784237,0.0468747996867596,0.000221994246982185,0.0021655333851538
"46","PANK4",0.886372863777036,0.901830870796932,-0.0154580070198963,0.000313795748717904,0.0021655333851538
"47","RP3-395M20.8",0.683537311072829,0.782462893977598,-0.0989255829047698,3.99383561794529e-05,0.0021655333851538
"48","MMEL1",0.675733133742578,0.646987494442133,0.0287456393004453,0.000124896738406854,0.0021655333851538
"49","TTC34",0.415583531831705,0.390804102130885,0.024779429700819,8.78201685566307e-05,0.0021655333851538
"50","RP11-740P5.3",0.463858183847678,0.503737899037531,-0.0398797151898525,0.00160278649061999,0.0021655333851538
"51","LINC00982",0.49546099607975,0.545382254543861,-0.0499212584641106,0.000220673005010981,0.0021655333851538
"52","PRDM16",0.500734649806619,0.526260674385299,-0.0255260245786792,0.000419862510592387,0.0021655333851538
"53","ARHGEF16",0.588391506674906,0.657004248262893,-0.0686127415879875,8.5985190515494e-05,0.0021655333851538
"54","MEGF6",0.539565791511057,0.59562324690417,-0.0560574553931135,0.000346857253959633,0.0021655333851538
"55","WRAP73",0.711335632120585,0.78476514954281,-0.0734295174222248,4.55748435865241e-06,0.0021655333851538
"56","TP73",0.521299105363137,0.586943661286123,-0.0656445559229857,0.000208591060432128,0.0021655333851538
"57","TP73-AS1",0.737346238164297,0.801315215817701,-0.0639689776534047,8.4911167040792e-05,0.0021655333851538
"58","CCDC27",0.764102863014369,0.71182969367379,0.0522731693405794,0.00112714149594555,0.0021655333851538
"59","SMIM1",0.0415428108223796,0.0453679030012612,-0.00382509217888164,0.000262870722621654,0.0021655333851538
"60","LRRC47",0.296974875559578,0.405482911582504,-0.108508036022926,1.32433799082405e-09,0.0021655333851538
"61","CEP104",0.587393158699214,0.620350452620915,-0.0329572939217012,0.000250664226718787,0.0021655333851538
"62","LINC01134",0.440071534541522,0.514766107580021,-0.0746945730384991,0.000416747326465185,0.0021655333851538
"63","LINC01346",0.687393405772888,0.618462227406804,0.0689311783660845,0.000806502681897551,0.0021655333851538
"64","RP5-1166F10.1",0.860830664727176,0.795061604703906,0.0657690600232708,0.00018339039824399,0.0021655333851538
"65","AJAP1",0.67599545992256,0.586672975625317,0.0893224842972432,0.000323039176905534,0.0021655333851538
"66","NPHP4",0.921181014860556,0.903215168156936,0.0179658467036197,3.51806388920889e-05,0.0021655333851538
